-Jan-, -一月-
vlvno-sp:CLOSE, vlvno-sp:关闭
vlvno-pv:OPEN, vlvno-pv:打开
vlvno-pv:CLOSED, vlvno-pv:已关闭
phase_wdog_states:FAILED, phase_wdog_states:已失败
phase_failures:PLM Watchdog Failed, phase_failures:PLM 看门狗故障
phase_failures:Controller Switchover Detected, phase_failures:已检测到控制器冗余切换
phase_failures:FAILED, phase_failures:已失败
$sfc_commands:Start Sequence, $sfc_commands:启动顺控
$sfc_commands:Stop Sequence, $sfc_commands:停止顺控
$sfc_commands:Reset Sequence, $sfc_commands:复位顺控
$sfc_states:Sequence Idle, $sfc_states:顺控空闲
$sfc_states:Sequence Active, $sfc_states:顺控激活
$sfc_states:Sequence Stopped, $sfc_states:顺控停止
$sfc_states:Sequence Completed, $sfc_states:顺控完成
$sfc_states:Sequence Blocked, $sfc_states:顺控堵塞
$phase_state:Complete, $phase_state:已完成
$phase_state:Aborting, $phase_state:正在退出
$phase_state:Holding, $phase_state:正在保持
$phase_state:Stopping, $phase_state:正在停止
$phase_state:Restarting, $phase_state:正在重新启动
$phase_state:Running, $phase_state:正在运行
$phase_state:Held, $phase_state:已保留
$phase_state:Complete, $phase_state:已完成
$phase_state:Stopped, $phase_state:已停止
$phase_state:Aborted, $phase_state:已退出
$phase_state:Idle, $phase_state:空闲
$phase_state:Starting, $phase_state:正在启动
$phase_state:Ready, $phase_state:就绪
$phase_state:Not Loaded, $phase_state:未载入
